id,(Intercept),SoilProfileL,SpeciesPS,SpeciesSOBI,AmendmentControl,AmendmentTBA,TimePeriodB,TimePeriodC,TimePeriodD
d__Bacteria;p__Methylomirabilota,0.13792524845220613,0.07656258491552344,0.07876566812275225,0.0989594732874311,0.10047336930217805,0.09536111769617944,0.1332397913282667,0.128408925764222,0.1272584554889946
d__Bacteria;p__Acidobacteriota,0.048391740072524385,0.02722193231188419,0.03343790804056752,0.03314112070112318,0.03581247614077583,0.03481210672226657,0.04233703557748791,0.04633791380896302,0.043461646193054614
d__Archaea;p__Thermoplasmatota,0.28445885137896937,0.14232972082234674,0.16946399248511199,0.16863548474437273,0.18340695698420675,0.17513634563230554,0.23925544256053513,0.2575210876872085,0.23423685614402825
d__Bacteria;p__WS2,0.19960547552147598,0.1182626102187561,0.13920900909157516,0.1492050372112158,0.14762772068980626,0.14994382196081385,0.16898490432938626,0.194968064552289,0.18280758187879842
d__Bacteria;p__Bacteroidota,0.16064152810767723,0.08280937684885284,0.09993645149733996,0.09999312157340326,0.10249241853866753,0.09950107061275588,0.14630872909200685,0.15196463708167757,0.1489274719656755
d__Bacteria;p__Sumerlaeota,0.25337311573041543,0.14147515197394656,0.16342936272833491,0.17201819626739173,0.1676313434742834,0.17638480718672336,0.23217822090724605,0.23666252547277347,0.2286819706726944
d__Bacteria;p__Planctomycetota,0.09690066596958231,0.049062180100853475,0.05845963059830043,0.060517373434057754,0.05938031665064062,0.06084723671673176,0.09280875834641245,0.09648545531269957,0.0953963243283216
d__Bacteria;p__Firmicutes,0.09086075481383166,0.07440399437707172,0.0775986290340563,0.09409687743450479,0.0720372169470064,0.09392848652409162,0.07471514124508384,0.10740227734774248,0.08135991104177903
d__Bacteria;p__Elusimicrobiota,0.26980864467802984,0.12527768047764098,0.14871531525273618,0.1545794812130557,0.1521140548715819,0.15096818374877374,0.262275213243518,0.2749221661334395,0.2521819862121561
d__Bacteria;p__Cyanobacteria,0.356494952343785,0.18448610901652412,0.22074814057522457,0.23629310331352635,0.23295444611376825,0.21673574335962503,0.30986258429897207,0.3328260239640764,0.32048314569530667
d__Bacteria;p__Bdellovibrionota,0.31379653272417085,0.1263185064124567,0.15493644718584929,0.14902268176538166,0.16523279820903816,0.15258838880318465,0.31804041473907646,0.32145692015830724,0.3043884181734284
d__Bacteria;p__Armatimonadota,0.14868572025259547,0.08056027323425329,0.09407823313532249,0.09577656527960292,0.08971779475527492,0.10240847697658874,0.14215064313599263,0.1429278602508961,0.12198905871262852
d__Bacteria;p__Desulfobacterota,0.12728368609485344,0.09207695499486816,0.10539632562176704,0.11521079602685552,0.11347705113303727,0.10504024373289576,0.12429230142460235,0.13359216977494162,0.11581045949662815
d__Bacteria;p__NB1-j,0.1377219510117642,0.09831579949324572,0.10882288289356538,0.12363191827792785,0.12394831446804001,0.10829357107359316,0.12909247451757636,0.148503906179426,0.12469235935518998
d__Bacteria;p__WPS-2,0.25872390064506945,0.13500668880277564,0.16495754649283176,0.16261529651131057,0.17021050153973463,0.16237114249949783,0.23489446004152228,0.2388796823961288,0.246219291735059
d__Bacteria;p__SAR324_clade(Marine_group_B),0.30112090202408204,0.13792959114541528,0.17331372161199857,0.16239414941137295,0.1651060067003663,0.16958548630516504,0.29417625318756946,0.2970271845759013,0.30077576208926854
d__Bacteria;p__Nitrospirota,0.0931199110140462,0.044934369021467815,0.053753620872736885,0.05515874827926396,0.055674035652007285,0.05427616042026534,0.08370343571950821,0.08574330760893661,0.08894409586285983
d__Bacteria;p__Dependentiae,0.27945113830302587,0.12482444437265826,0.13943352684383695,0.1524413275829886,0.1395511180542045,0.1594158245224592,0.26754096767086316,0.27264090110700184,0.26739340455383365
d__Bacteria;p__Fibrobacterota,0.3217355488281566,0.139022976223439,0.16103437566966017,0.1741669419257118,0.1600160271525443,0.17733268469909783,0.3094842739406748,0.3060378421127212,0.30836952291349234
d__Bacteria;p__GAL15,0.32167915638185474,0.1497339648547944,0.17099690600331466,0.17922581450106292,0.19170857928808896,0.1730776463067657,0.29895904937821033,0.30476996924740524,0.30463050196704344
d__Archaea;p__Crenarchaeota,0.2552606150673024,0.09556758592280273,0.10128384745656105,0.119119040448808,0.11529638944101513,0.11688141851288145,0.24468516395272352,0.2302813993878224,0.23380380530801698
d__Archaea;p__Nanoarchaeota,0.192625047703939,0.11694277690505425,0.14173963388162805,0.14155270014529225,0.14022842497964005,0.1478257992738543,0.17732329347592052,0.18927583175210974,0.19573533012187305
d__Bacteria;p__Abditibacteriota,0.1310619720272945,0.0983256166723731,0.11275974249944203,0.1242400368048181,0.12363246668858152,0.12075612710605897,0.0991600071040515,0.11902353575852534,0.13268272841056497
d__Bacteria;p__Dadabacteria,0.2422885311208972,0.15300373966921357,0.1819800764398288,0.18478122990047058,0.18872945153873974,0.18860195356035728,0.22784401828691875,0.23509047400900807,0.24867534716665102
d__Bacteria;p__MBNT15,0.2951869167324745,0.1497737613559486,0.17436809027807426,0.187300343096884,0.1842953679621314,0.1776167011234689,0.2642306422657951,0.2832752469912283,0.2691382053677077
d__Bacteria;__,0.27897034586031944,0.14376000848028558,0.16503848157343173,0.1781274111890318,0.1762621499259187,0.17928164721927914,0.29839416538912894,0.29669025820951733,0.2842926184733822
d__Bacteria;p__Zixibacteria,0.28437491352721084,0.1534944544453101,0.18451464183001695,0.18399026248304928,0.1936655816048481,0.18819683531762824,0.26422019607117786,0.29315966123434406,0.2840272963287698
d__Bacteria;p__RCP2-54,0.30325091621128675,0.17245610110882842,0.20303807693495202,0.21919136522542199,0.21620583196152166,0.20609341737835815,0.2692536163489975,0.27569886005200045,0.2752466182157719
d__Bacteria;p__FCPU426,0.12684713156124347,0.08009382115391223,0.0964578522396584,0.09937985469342138,0.1004170167744758,0.09888054888559095,0.1150325047251655,0.1264133763592816,0.12764703373978742
d__Archaea;p__Micrarchaeota,0.23329491681697073,0.1286489327073912,0.16950498545484652,0.15776417362781392,0.15856375013046742,0.15579395136466145,0.20873337257497274,0.229438065982405,0.2399491268382027
