sample-id	TimePeriod	Species	Amendment	SoilProfile	Block
41-SZ5B-16S	B	PS	Biochar	L	1
42-SZ6B-16S	B	SOBI	TBA	L	1
43-SZ7B-16S	B	Native Grass	Biochar	L	1
44-SZ8B-16S	B	PS	TBA	L	1
45-SZ9B-16S	B	SOBI	Biochar	L	1
46-SZ10B-16S	B	SOBI	Control	L	1
47-SZ11B-16S	B	Native Grass	TBA	L	2
48-SZ12B-16S	B	Native Grass	Biochar	L	2
49-SZ13B-16S	B	PS	Control	L	2
5-SZ5-16S	B	PS	Biochar	U	2
50-SZ14B-16S	B	SOBI	Biochar	L	2
51-SZ15B-16S	B	Native Grass	Control	L	2
52-SZ16B-16S	B	PS	Biochar	L	2
53-SZ17B-16S	B	SOBI	TBA	L	2
54-SZ18B-16S	B	PS	TBA	L	2
55-SZ19B-16S	B	SOBI	Control	L	2
56-SZ20B-16S	B	PS	Control	L	3
57-SZ21B-16S	B	Native Grass	Control	L	3
58-SZ22B-16S	B	SOBI	Biochar	L	3
59-SZ23B-16S	B	PS	TBA	L	3
6-SZ6-16S	B	SOBI	TBA	U	1
60-SZ24B-16S	B	Native Grass	Biochar	L	2
61-SZ25B-16S	B	SOBI	TBA	L	3
62-SZ26B-16S	B	PS	Biochar	L	3
63-SZ27B-16S	B	Native Grass	TBA	L	3
64-SZ28B-16S	B	PS	Biochar	L	4
65-SZ29B-16S	B	Native Grass	Biochar	L	4
66-SZ30B-16S	B	SOBI	Biochar	L	4
67-SZ31B-16S	B	PS	TBA	L	4
68-SZ32B-16S	B	SOBI	Control	L	4
69-SZ33B-16S	B	Native Grass	TBA	L	4
7-SZ7-16S	B	Native Grass	Biochar	U	4
70-SZ34B-16S	B	PS	Control	L	4
71-SZ35B-16S	B	Native Grass	Control	L	4
72-SZ36B-16S	B	SOBI	TBA	L	4
8-SZ8-16S	B	PS	TBA	U	1
9-SZ9-16S	B	SOBI	Biochar	U	1
01-1A-16S	D	Native Grass	Control	U	1
10-10A-16S	D	SOBI	Control	U	2
11-11A-16S	D	Native Grass	TBA	U	2
12-12A-16S	D	Native Grass	Biochar	U	2
13-13A-16S	D	PS	Control	U	2
14-14A-16S	D	SOBI	Biochar	U	2
15-15A-16S	D	Native Grass	Control	U	2
16-16A-16S	D	PS	Biochar	U	2
17-17A-16S	D	SOBI	TBA	U	2
18-18A-16S	D	PS	TBA	U	2
19-19A-16S	D	SOBI	Control	U	3
02-2A-16S	D	SOBI	Control	U	1
20-20A-16S	D	PS	Control	U	3
21-21A-16S	D	Native Grass	Control	U	3
22-22A-16S	D	SOBI	Biochar	U	3
23-23A-16S	D	PS	TBA	U	3
24-24A-16S	D	Native Grass	Biochar	U	3
25-25A-16S	D	SOBI	TBA	U	3
26-26A-16S	D	PS	Biochar	U	3
27-27A-16S	D	Native Grass	TBA	U	3
28-28A-16S	D	PS	Biochar	U	4
29-29A-16S	D	Native Grass	Biochar	U	1
03-3A-16S	D	PS	Control	U	1
30-30A-16S	D	SOBI	Biochar	U	4
31-31A-16S	D	PS	TBA	U	4
32-32A-16S	D	SOBI	Control	U	4
33-33A-16S	D	Native Grass	TBA	U	4
34-34A-16S	D	PS	Control	U	4
35-35A-16S	D	Native Grass	Control	U	4
36-36A-16S	D	SOBI	TBA	U	4
37-1B-16S	D	Native Grass	Control	L	1
38-2B-16S	D	SOBI	Control	L	1
39-3B-16S	D	PS	Control	L	1
04-4A-16S	D	Native Grass	TBA	U	1
40-4B-16S	D	Native Grass	TBA	L	1
41-5B-16S	D	PS	Biochar	L	1
42-6B-16S	D	SOBI	TBA	L	1
43-7B-16S	D	Native Grass	Biochar	L	1
44-8B-16S	D	PS	TBA	L	1
45-9B-16S	D	SOBI	Biochar	L	1
46-10B-16S	D	SOBI	Control	L	1
47-11B-16S	D	Native Grass	TBA	L	2
48-12B-16S	D	Native Grass	Biochar	L	2
49-13B-16S	D	PS	Control	L	2
05-5A-16S	D	PS	Biochar	U	2
50-14B-16S	D	SOBI	Biochar	L	2
51-15B-16S	D	Native Grass	Control	L	2
52-16B-16S	D	PS	Biochar	L	2
53-17B-16S	D	SOBI	TBA	L	2
54-18B-16S	D	PS	TBA	L	2
55-19B-16S	D	SOBI	Control	L	2
56-20B-16S	D	PS	Control	L	3
57-21B-16S	D	Native Grass	Control	L	3
58-22B-16S	D	SOBI	Biochar	L	4
59-23B-16S	D	PS	TBA	L	3
06-6A-16S	D	SOBI	TBA	U	1
60-24B-16S	D	Native Grass	Biochar	L	2
61-25B-16S	D	SOBI	TBA	L	3
62-26B-16S	D	PS	Biochar	L	3
63-27B-16S	D	Native Grass	TBA	L	3
64-28B-16S	D	PS	Biochar	L	4
65-29B-16S	D	Native Grass	Biochar	L	4
66-30B-16S	D	SOBI	Biochar	L	4
67-31B-16S	D	PS	TBA	L	4
68-32B-16S	D	SOBI	Control	L	4
69-33B-16S	D	Native Grass	TBA	L	4
07-7A-16S	D	Native Grass	Biochar	U	4
70-34B-16S	D	PS	Control	L	4
71-35B-16S	D	Native Grass	Control	L	4
72-36B-16S	D	SOBI	TBA	L	4
08-8A-16S	D	PS	TBA	U	1
09-9A-16S	D	SOBI	Biochar	U	1
