id,(Intercept),SoilProfileL,SpeciesPS,SpeciesSOBI,AmendmentControl,AmendmentTBA,TimePeriodB,TimePeriodC,TimePeriodD
d__Bacteria;p__Actinobacteriota,7.550795578539074,-0.1680807356224223,0.010240191497327715,0.08516015444681702,-0.0117141862212818,-0.04941189013990301,-0.04917909107064976,-0.02115463133896006,-0.03153008940365343
d__Bacteria;p__Chloroflexi,6.098599585844308,-0.14098595539450481,-0.007424301723915078,-0.023994199692960336,0.024741900517568943,-0.0045649760015245705,-0.048886508230018555,0.1052418908626751,0.17567323779588317
d__Bacteria;p__Proteobacteria,7.547184489958421,-0.2496543160727956,-0.037664160005018724,0.029954087000895815,-0.022398074103075052,-0.07353651458959289,-0.09616590090953342,0.03989645853357798,-0.053153633403179024
d__Bacteria;p__Entotheonellaeota,4.1003255666034955,-0.43878421636879417,-0.04536420675117362,-0.13573771640487903,-0.0031716878052161362,-0.003084670176429008,0.1874437759895015,0.10131441345687864,0.46290754087555874
d__Bacteria;p__Myxococcota,5.600771546939638,-0.1524795969002729,-0.020262887619700843,-0.013840914636850776,-0.03214148596748785,-0.05933811307865408,0.0620105970524777,0.10525832181589384,0.23089940857146107
d__Bacteria;p__Verrucomicrobiota,4.747060655332275,0.09418255744499746,0.05620032623661259,-0.024737733887661165,0.0396097641879356,0.05369364301493007,-0.09298789637110515,0.20636310580745304,0.2689405122442543
d__Bacteria;p__Deinococcota,-0.8567476339036233,-0.6161344951976562,-0.08995292109041612,0.17253954563806534,-0.20113561789947138,-0.06002251498441401,0.17025449909883403,-0.025082897086128736,-0.7747782354908952
d__Bacteria;p__Latescibacterota,3.489791512193891,1.0572050839590692,0.23872485904355073,-0.00198327187261757,0.16637781100262414,0.3047021705640326,0.03572303341663387,-0.6391785945148609,-0.14096680415751806
d__Bacteria;p__Patescibacteria,2.7111903306075344,-0.09775111354797006,0.1830144651468146,0.31441331594978594,-0.14009430156462188,-0.12389875182544911,-0.48983164805657664,-0.02572186562761386,0.15432293871100833
d__Bacteria;p__Gemmatimonadota,5.478831756628051,0.06883465710146211,-0.010958036440256487,0.0013910600511666121,0.02177718079130686,0.03538874007238482,0.01781750467210904,-0.03891383579006055,0.08417973028169246
d__Bacteria;p__Methylomirabilota,5.004598346245008,0.8413019366048317,0.11676404385627256,-0.036831710827297956,0.07768897883170223,0.17966454413045027,-0.11552230738096536,-0.5880250212264276,-0.3425606543382559
d__Bacteria;p__Acidobacteriota,7.020261163142497,-0.011903459866750649,0.025635382790230532,0.014165915884185615,0.003134589073168173,0.015389079700206199,0.0389693282435547,-0.1187788738544183,0.003934383458466639
d__Archaea;p__Thermoplasmatota,0.42534197872958,1.1729836312742723,-0.06375995285359454,-0.04404637888452721,0.165373335965971,0.2957071855212604,0.40481597977899586,0.4657493405097131,0.9422748359516391
d__Bacteria;p__WS2,-0.18421893070312112,-0.9210969037750742,-0.24567509035235546,-0.007635365277230077,-0.23643830709562363,-0.2391509208196964,-0.10208422003963886,0.36780171538433776,-0.9810583651825133
d__Bacteria;p__Bacteroidota,4.368597966814031,-0.7374042366598975,-0.08055845183895453,0.18789730129566895,-0.14358571883472063,-0.15091156892968982,0.02446412362876504,0.7257911867575624,0.4358979265510903
d__Bacteria;p__Sumerlaeota,0.14487502753304726,-0.7894588368647332,-0.15870818643636744,0.00998280132344534,-0.20668367005243915,-0.3350358385921419,0.05772402645393379,0.16521336194356584,0.06321075996020165
d__Bacteria;p__Planctomycetota,5.608895094977413,-0.20096144348601475,0.008487694268499149,-0.007388392110581898,0.022821530991724265,-0.05796859376933303,0.030883140134253518,0.042687083418302296,0.163457841223958
d__Bacteria;p__Firmicutes,5.808754710873219,-0.12370946279214785,-0.06349239274488172,-0.18513804728964006,-0.03649287589157728,-0.14136738424019266,-0.11215346053285759,-0.08132501139360587,-0.06520743809513774
