id,(Intercept),SoilProfileL,SpeciesPS,SpeciesSOBI,AmendmentControl,AmendmentTBA,TimePeriodB,TimePeriodC,TimePeriodD
d__Bacteria;p__Actinobacteriota,104.49167854711693,-3.929178342649349,0.2110608161983023,1.587144309984568,-0.22326106810691154,-0.9105081840704148,-0.7204795669422037,-0.28607796996809454,-0.44300960876399703
d__Bacteria;p__Chloroflexi,91.48936475105698,-2.537818631645569,-0.18721064488645817,-0.30673168301627496,0.3462061953393143,-0.059363207624742766,-0.5779876027257693,1.4231003600660832,2.877608223036335
d__Bacteria;p__Proteobacteria,116.61587806171379,-6.137595112394329,-0.8259556525397189,0.603427683563467,-0.45594096048224875,-1.4335295497957674,-1.6958167739605654,0.6341520959995552,-0.8559321626380594
d__Bacteria;p__Entotheonellaeota,27.864415052211438,-7.356910565496866,-0.6496224502782697,-1.89196084735501,-0.04270332428141669,-0.040735708994100894,1.2816112377533453,0.6732959616119418,3.1860100295899354
d__Bacteria;p__Myxococcota,90.06479710201752,-3.8489021571088236,-0.4348616637717342,-0.2806422635362,-0.6306362141805898,-1.1927195912242998,1.2760425424444677,1.7841422718948465,4.586024916840903
d__Bacteria;p__Verrucomicrobiota,53.08456608405507,2.1024298812929407,1.3260312250656214,-0.404178195644033,0.6574842025096178,0.8980634376411272,-0.9832525947658507,2.4726124889792285,3.1899282444258827
d__Bacteria;p__Deinococcota,-6.515351560726073,-6.430191533183639,-0.8328917269160209,1.438782362973061,-1.7307675340024917,-0.4932022667461529,1.5258577427242164,-0.21390531525694814,-6.0268241338228465
d__Bacteria;p__Latescibacterota,20.628515301964825,10.555030100066434,2.06500974030888,-0.015495160440504486,1.3018837189714152,2.4791427093560605,0.2324834762770148,-3.6845781548082805,-0.8778128169736114
d__Bacteria;p__Patescibacteria,16.697754458375726,-1.2018654662681776,1.7707217967327935,3.1642278596947495,-1.3442665249441659,-1.3086566529996788,-3.153871961826519,-0.17148148369530028,1.0456649262376085
d__Bacteria;p__Gemmatimonadota,104.14763446693247,1.9349560950452238,-0.3004265355555384,0.029504855179954267,0.5289982867092227,0.7769268592928937,0.3875108392519585,-0.7271564510581748,1.9113124816430818
d__Bacteria;p__Methylomirabilota,36.28486011376809,10.98842127042988,1.4824230738994277,-0.372189843010977,0.773229556959011,1.8840440262336435,-0.867025580191354,-4.579315789200897,-2.691849850149099
